Mean Velocity,Std Dev,Min Velocity,Max Velocity,Range,Median,Kurtosis,Skewness,Energy,MQ_type
2.085638434941148e-20,1.4857218012626861e-09,-3.709381034878235e-08,3.9054841560791444e-08,7.614865190957379e-08,-7.329449913652321e-18,78.04898325311402,0.0152499367690841,1.2635290737455106e-12,impact_mq
6.3473183724442736e-21,1.203664038380505e-09,-2.2306297942250548e-08,2.245840981688088e-08,4.4764707759131435e-08,-1.643170644627535e-12,16.903035537231112,0.0117168516175562,8.293116820082355e-13,impact_mq
3.2278155032346194e-20,1.2655788491797534e-09,-3.2312705015031514e-08,3.3946445489390515e-08,6.625915050442203e-08,-1.5881890644755075e-16,42.55660323221972,0.0092705161984931,9.168232718645689e-13,impact_mq
-5.419658487190343e-20,1.444316549967999e-09,-3.102976738303339e-08,3.2287244552993124e-08,6.331701193602651e-08,-4.669164304882512e-14,52.65425846737554,-0.0116429802544258,1.1940843944273117e-12,impact_mq
4.074240992107607e-21,2.455980326157175e-09,-8.552718593456678e-08,9.36180432584474e-08,1.7914522919301418e-07,-2.6080441559463616e-16,144.95860048962427,0.0421895812311289,3.452727392347623e-12,impact_mq
2.964436946563982e-21,7.066211904622468e-09,-2.758215323879882e-07,2.6669832289881946e-07,5.425198552868077e-07,-1.7482198918745257e-11,207.51818858454104,-0.0212069713469413,2.8581803619535567e-11,impact_mq
9.206572728932885e-22,3.2082139280729198e-09,-8.89369429256735e-08,8.819970983371728e-08,1.771366527593908e-07,5.403148697661474e-14,93.83472996428588,0.0199590686746026,5.891608120946169e-12,impact_mq
4.807943834289155e-21,1.154679166132741e-09,-2.3406141804026613e-08,2.2034288442869413e-08,4.544043024689602e-08,6.349583138673771e-13,27.16866665004317,-0.0083947675763059,7.632010805111407e-13,impact_mq
-4.074576234195897e-20,1.299558039195737e-09,-8.062275517044676e-08,5.6931394059214064e-08,1.3755414922966086e-07,-5.1500084515429e-14,168.40169660935197,-0.0195454533375065,9.667304562300329e-13,impact_mq
-7.801980177232301e-21,1.21632044461695e-09,-3.1062989580527535e-08,3.3155217024098234e-08,6.421820660462577e-08,-2.6109366921813148e-15,70.29562570898875,-0.0019298570563539,8.468436310479333e-13,impact_mq
8.811546028822112e-21,1.027062817051394e-09,-2.0112442998658284e-08,2.1378032950237078e-08,4.149047594889536e-08,-8.473073532801811e-16,26.083991606397948,-0.0279514867145142,6.038155044814705e-13,impact_mq
2.724852326328445e-20,1.2851059268289047e-09,-2.8571965244770487e-08,2.8334419067840982e-08,5.6906384312611475e-08,-9.366068420275516e-15,62.74905625410824,-0.0125514346145404,9.453335369633856e-13,impact_mq
-3.658253915543925e-21,1.2017271169653191e-09,-4.4782615251646194e-08,3.3241627973617956e-08,7.802424322526414e-08,5.4768249450163036e-14,40.718322755806405,-0.28143253660242,8.26662122890533e-13,impact_mq
6.690754154103488e-20,9.722771727452326e-10,-2.1977399728327527e-08,1.9722478650372642e-08,4.169987837870016e-08,2.599529679766168e-15,43.63107956586446,-0.0009625090154797,5.411122815561798e-13,impact_mq
1.0440770962426728e-21,1.118784565663844e-09,-1.9296268740632717e-08,1.8038260220753643e-08,3.7334528961386364e-08,2.120512973879311e-12,12.491968130488344,-0.0304149423796384,7.164935485115485e-13,impact_mq
-8.264193008916715e-21,2.230026916634134e-09,-5.0146290559887234e-08,4.7624086042181147e-08,9.777037660206837e-08,1.4068149428797311e-14,49.31132998262456,-0.0146412547202425,2.846586514117948e-12,impact_mq
-8.264193008916715e-21,2.230026916634134e-09,-5.0146290559887234e-08,4.7624086042181147e-08,9.777037660206837e-08,1.4068149428797311e-14,49.31132998262456,-0.0146412547202425,2.846586514117948e-12,impact_mq
6.344915715805648e-22,1.133415877064584e-09,-1.3554483514408736e-08,1.3502904925324341e-08,2.7057388439733075e-08,-1.1436980662988501e-12,5.608547385882504,-0.00923936068118,7.353359457542069e-13,impact_mq
-3.5376732458142657e-22,2.02647136247551e-08,-7.244064526201886e-07,7.541423399927471e-07,1.4785487926129358e-06,2.816033011094661e-13,192.0966940433545,-1.0201449034733794,2.3507002760070745e-10,impact_mq
3.3056924384007804e-20,2.4328091579605442e-08,-6.587181598122327e-07,6.854882358940776e-07,1.3442063957063105e-06,1.2535480856345829e-13,141.54099344077517,-0.7939243868860248,3.387884587946834e-10,impact_mq
5.6684525660641285e-22,8.094016982415618e-10,-1.1601354511602444e-08,1.1812588687828452e-08,2.3413943199430892e-08,-3.849558168236906e-14,9.958303593674248,0.0643380606659006,3.7499573659596594e-13,impact_mq
6.986574171101245e-24,1.7623079167777503e-09,-1.2683610348671102e-07,1.499044673645321e-07,2.767405708512432e-07,-1.882074810847745e-13,1046.9536674965257,7.888417187519441,1.7777131789224977e-12,impact_mq
1.327890640651416e-19,7.439690034858334e-09,-2.6019836267431377e-07,2.473213412968485e-07,5.075197039711623e-07,-1.3697879017124185e-13,194.85915359618448,0.1002228997205012,3.1681649927198946e-11,impact_mq
5.6443483979951715e-22,1.5066007372427112e-09,-3.3446638221340256e-08,3.306107846942806e-08,6.650771669076833e-08,-5.994842191387009e-15,52.89921987034826,0.0061594677371769,1.29929831268615e-12,impact_mq
-7.287867244136831e-21,1.0013459163105014e-09,-1.618825980720129e-08,1.6811902530337132e-08,3.3000162337538424e-08,1.3372613210907994e-13,14.299436442677436,-0.0431747127431559,5.739398365022589e-13,impact_mq
3.4729242138235545e-21,1.106967778372561e-09,-7.541475750341858e-08,2.3642613416269148e-08,9.905737091968773e-08,-1.4339207357002976e-13,83.48974026000124,-0.645858445439162,7.0142700535231e-13,impact_mq
6.19779299031864e-20,9.034332415091585e-10,-1.5822109378877238e-08,1.7425119244299215e-08,3.324722862317645e-08,-7.434838023057496e-14,20.098658478744024,0.0772724000460733,4.671864519715639e-13,impact_mq
-1.1901746589903922e-22,1.7180139064308666e-09,-5.700235387975548e-08,7.687157407440846e-08,1.3387392795416393e-07,7.237346567263877e-17,115.64018905428038,0.1777506684439312,1.6894737852681036e-12,impact_mq
8.796954520291483e-21,9.780245162129227e-10,-1.9554391812375128e-08,1.947033460001912e-08,3.9024726412394255e-08,3.7939310844500696e-14,22.76589397784527,-0.0440319160150497,5.475169775851509e-13,impact_mq
1.2205542302299007e-21,5.575509860405054e-09,-1.7550029003931516e-07,2.0107069484539163e-07,3.765709848847068e-07,-2.4148649163792986e-12,106.8817258264076,0.2084642441540536,1.7793741787848102e-11,impact_mq
1.2205542302299007e-21,5.575509860405054e-09,-1.7550029003931516e-07,2.0107069484539163e-07,3.765709848847068e-07,-2.4148649163792986e-12,106.8817258264076,0.2084642441540536,1.7793741787848102e-11,impact_mq
6.9221934881014415e-22,1.014464312141953e-09,-1.9909720744382822e-08,1.9362553865582978e-08,3.92722746099658e-08,1.6452641642413396e-14,23.558660836568286,-0.0433628416791239,5.890959953082516e-13,impact_mq
-8.868468133054135e-22,2.0869502305083067e-09,-4.9848715478576034e-08,4.8106812286007e-08,9.795552776458305e-08,-1.509956862793654e-13,69.40021495489289,-0.0003584001012101,2.4930697629254336e-12,impact_mq
-1.4999544206899952e-22,1.150053269737975e-09,-1.3993060175318614e-08,1.4406069192280106e-08,2.8399129367598723e-08,6.496546992257621e-14,4.331161310931432,-0.0084038079353929,7.570664870546722e-13,impact_mq
2.34038664680016e-20,1.0108608493892163e-09,-1.6014879264468375e-08,1.6426744998902997e-08,3.2441624263371375e-08,-4.02899204459988e-17,7.779952576658642,0.0457557866003574,5.848989758889693e-13,impact_mq
-1.8007392825660376e-21,6.836692647904328e-10,-1.0382340881087626e-08,9.967652428792741e-09,2.0349993309880368e-08,1.8669961233038588e-15,12.782188940641817,0.0022368646850948,2.675484007068583e-13,impact_mq
8.982066857598265e-19,6.408112317149694e-10,-1.0685780994699506e-08,1.0651452974489188e-08,2.1337233969188693e-08,-6.37694604072849e-18,21.92657215657504,0.0223008056200843,2.350473196235248e-13,impact_mq
-4.861145151168048e-20,1.3184901783363754e-09,-2.4065330281399704e-08,2.4701333459364623e-08,4.8766663740764324e-08,-2.1191377125837586e-12,26.783906667725542,0.0008928299067407,9.948296174951437e-13,impact_mq
-8.306399489079794e-20,8.52423963957537e-10,-3.164132990539104e-08,2.706611410610371e-08,5.8707444011494753e-08,-1.5886709477365534e-14,84.99987366398146,-0.1190693246452477,4.1593124681456633e-13,impact_mq
-3.939709885462696e-22,7.557547778610273e-10,-1.5007759081719115e-08,1.5484548318757673e-08,3.0492307400476795e-08,2.2241026317818403e-15,49.99204337572461,-0.0259514723245816,3.269315817185872e-13,impact_mq
1.3637609867442615e-20,7.296577427858101e-10,-1.0479707670272176e-08,9.557230665526138e-09,2.0036938335798317e-08,1.177427709460122e-14,7.541369025653429,-0.0846588060282548,3.0475505213517644e-13,impact_mq
8.817770389771877e-21,9.481794846076695e-10,-1.6259089362820523e-08,1.4775360222775709e-08,3.1034449585596234e-08,-1.5890114709471657e-15,11.219014503575291,0.0375848424475795,5.146111792829976e-13,impact_mq
-2.9710824072411263e-20,8.883440443143021e-10,-1.9053835224989242e-08,2.1112991498114638e-08,4.016682672310387e-08,-1.9156101451205308e-15,46.86779523846817,-0.0022786454938442,4.517076678168724e-13,impact_mq
3.3597375853247295e-21,6.227835907119576e-10,-1.2939814520013894e-08,1.2699082370342084e-08,2.5638896890355978e-08,1.3070473664218242e-15,41.13846752755177,-0.0289904378712142,2.2200839389590422e-13,impact_mq
-6.754240991783828e-19,2.1246520664087962e-09,-9.295645741788527e-08,9.94349984753467e-08,1.9239145589323198e-07,-1.882095112915665e-19,272.78085223366946,0.4785018329304653,2.583870316367734e-12,impact_mq
1.1754707361257226e-21,4.210339890368194e-10,-1.0041883490698064e-08,9.90596514529922e-09,1.9947848635997288e-08,1.282685463416801e-15,38.716590358641504,-0.1126691485160623,1.0146806682692492e-13,impact_mq
-1.589139716387028e-21,1.2681018969696695e-09,-2.673720674553768e-08,2.697961549986029e-08,5.371682224539797e-08,-2.2619800310370918e-14,41.25209188871904,-0.0084254761781614,9.204824586607492e-13,impact_mq
2.0758077082165984e-21,9.42615920217097e-10,-1.9866984493390852e-08,2.242314745465245e-08,4.22901319480433e-08,-1.3875954040853909e-13,22.39669131353055,0.036474550549621,5.086066850130872e-13,impact_mq
1.6186452399489449e-19,1.456493823722834e-09,-4.0926444591768856e-08,4.07387261681405e-08,8.166517075990935e-08,-8.647406762008996e-18,81.77839649817058,0.0395678968509368,1.2143106889522732e-12,impact_mq
4.057640326070919e-21,2.777809063383904e-09,-1.690086481557958e-07,1.7240497268762946e-07,3.414136208434253e-07,-9.839472150586091e-15,751.6399035560602,1.1864688415726707,4.416874182579104e-12,impact_mq
9.914259354372122e-20,6.276899771637557e-10,-1.1977057422363884e-08,1.3026797873109864e-08,2.5003855295473746e-08,-4.583114817225374e-18,37.86914071096549,0.0584874084279788,2.2551823659220134e-13,impact_mq
-6.406576338873026e-20,9.383705689342731e-10,-1.1698628474286278e-08,1.4476462587179106e-08,2.6175091061465383e-08,-3.808082270904513e-13,6.248108310552629,0.0351913564120906,5.040295148183454e-13,impact_mq
2.7682079149491064e-20,1.834937593109286e-09,-4.7393509832730505e-08,4.821152572414328e-08,9.560503555687377e-08,-2.8985815626092787e-14,99.17073240001838,-0.0170412081807314,1.927217988635144e-12,impact_mq
-1.9915388198994876e-20,1.0876293019365064e-09,-1.1960254905933252e-08,1.1456009643211154e-08,2.3416264549144404e-08,1.6093569110177933e-12,2.259718296536845,-0.0354250648966708,6.770921312268712e-13,impact_mq
-5.3904156530615225e-21,1.1140350408952795e-09,-1.2045804020851616e-08,1.2690020592200798e-08,2.473582461305241e-08,-9.121603457084156e-13,0.5098177362022231,0.0155606377726531,7.104181026384662e-13,impact_mq
1.479341161008372e-21,1.242631597736829e-09,-2.175528744835311e-08,2.1558681399002307e-08,4.3313968847355425e-08,-2.1425834337494906e-16,29.936413263799597,0.0235933834489192,8.838773352089137e-13,impact_mq
1.479341161008372e-21,1.242631597736829e-09,-2.175528744835311e-08,2.1558681399002307e-08,4.3313968847355425e-08,-2.1425834337494906e-16,29.936413263799597,0.0235933834489192,8.838773352089137e-13,impact_mq
-3.1213292063881414e-23,1.351544903756949e-09,-2.392611775170913e-08,2.3029891440404782e-08,4.6956009192113915e-08,1.2177896044139549e-12,20.18840270266993,-0.0189365585458764,1.04562817084097e-12,impact_mq
7.919644994804886e-22,1.1912681852492132e-09,-3.344433450923271e-08,3.2400926640378795e-08,6.584526114961152e-08,2.489344591555119e-15,89.9381537163899,-0.0904663141459697,8.123283496087289e-13,impact_mq
-9.728932193034516e-20,9.667663740161824e-09,-3.79385861670059e-07,3.135459784732879e-07,6.929318401433468e-07,-3.4584667475996704e-15,212.46689407062192,-0.4912028616491052,5.3500690785069694e-11,impact_mq
1.4948575915217288e-21,1.8008752324452063e-08,-6.185170885322371e-07,5.397853417972495e-07,1.1583024303294866e-06,1.020432968967096e-11,182.8157351771105,-1.3294231524894564,1.8564351110397584e-10,impact_mq
2.322905726024373e-20,1.0084738635110783e-09,-4.8385427994123024e-08,3.5242205900904456e-08,8.362763389502749e-08,-1.7169315276846834e-13,109.29276865388044,-0.2216126726075858,5.821521511048856e-13,impact_mq
2.1463024726009075e-20,9.574457434211186e-10,-1.3671234488703271e-08,1.3406539376258928e-08,2.70777738649622e-08,-2.60495860939522e-17,10.661087042789848,0.0030789798311147,5.247259262672124e-13,impact_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
3.880794862662522e-20,1.1419168307409929e-08,-4.678813375709739e-07,4.790425522747177e-07,9.469238898456916e-07,7.696192666919698e-14,380.4566939324555,-0.7987229507243282,4.464507227449276e-11,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.007390669903906e-19,3.174596657065777e-09,-1.4383712579267985e-07,1.6129464247548516e-07,3.0513176826816495e-07,-2.9268985468713225e-19,265.1223825415757,0.0973316957520132,5.768855123511356e-12,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
5.1053032911155625e-21,1.2594159463968481e-09,-2.7324266928927685e-08,2.7301001788668884e-08,5.4625268717596566e-08,-1.2507424464621025e-13,47.88108179891977,0.0047208025353402,9.079221741038984e-13,shallow_mq
